"","code","question.order","dice.removal","JuID"
"1","Hfrd1","height first","removed dice before 1st task",1
"2","Hfkd","height first","kept dice",2
"3","Hfkd","height first","kept dice",3
"4","Hfrd1","height first","removed dice before 1st task",4
"5","Hfkd","height first","kept dice",5
"6","Hfrd2","height first","removed dice before 2nd task",6
"7","Hfrd1","height first","removed dice before 1st task",7
"8","Hfkd","height first","kept dice",8
"9","Hfkd","height first","kept dice",9
"10","Hfrd2","height first","removed dice before 2nd task",10
"11","Hfkd","height first","kept dice",11
"12","Hfrd1","height first","removed dice before 1st task",12
"13","HfrdTask","height first","removed dice before 1st prompt",13
"14","Hfkd","height first","kept dice",14
"15","HfrdTask","height first","removed dice before 1st prompt",15
"16","Hfrd2","height first","removed dice before 2nd task",16
"17","Hfkd","height first","kept dice",17
"18","Hfrd2","height first","removed dice before 2nd task",18
"19","Hfrd1","height first","removed dice before 1st task",19
"20","Hfkd","height first","kept dice",20
"21","Hfkd","height first","kept dice",21
"22","Hfkd","height first","kept dice",22
"23","HfrdTask","height first","removed dice before 1st prompt",23
"24","Hfkd","height first","kept dice",24
"25","Hfrd2","height first","removed dice before 2nd task",25
"26","Hfrd1","height first","removed dice before 1st task",26
"27","HfrdTask","height first","removed dice before 1st prompt",27
"28","Hfkd","height first","kept dice",28
"29","Hfrd2","height first","removed dice before 2nd task",29
"30","Hfrd1","height first","removed dice before 1st task",30
"31","Hfrd2","height first","removed dice before 2nd task",31
"32","Hfkd","height first","kept dice",32
"33","HfrdTask","height first","removed dice before 1st prompt",33
"34","Hfkd","height first","kept dice",34
"35","HfrdTask","height first","removed dice before 1st prompt",35
"36","Hfrd1","height first","removed dice before 1st task",36
"37","Hfrd1","height first","removed dice before 1st task",37
"38","Hfrd1","height first","removed dice before 1st task",38
"39","Hfrd2","height first","removed dice before 2nd task",39
"40","Sfrd1","shape first","removed dice before 1st task",40
"41","Sfrd1","shape first","removed dice before 1st task",41
"42","Sfrd1","shape first","removed dice before 1st task",42
"43","Sfkd","shape first","kept dice",43
"44","Sfrd1","shape first","removed dice before 1st task",44
"45","Sfkd","shape first","kept dice",45
"46","Sfrd1","shape first","removed dice before 1st task",46
"47","Sfrd2","shape first","removed dice before 2nd task",47
"48","Sfkd","shape first","kept dice",48
"49","SfBut2","shape first","put dice in hand for 2nd task!",49
"50","HfrdTask","height first","removed dice before 1st prompt",50
